"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,253,196,36.2%,44.1%,5.0%,9.8%,0.0%,1.3%,2.8%,0.9%,
"경기,인천",323,327,44.7%,39.9%,4.2%,7.1%,2.0%,1.3%,0.0%,0.7%,
"대전,세종,충남북",92,111,38.5%,50.7%,2.9%,5.1%,0.9%,0.9%,1.2%,0.0%,
강원,34,32,40.9%,54.3%,0.0%,4.9%,0.0%,0.0%,0.0%,0.0%,
"부산,울산,경남",117,157,31.3%,53.0%,3.3%,5.2%,1.1%,1.7%,3.6%,0.8%,
"대구,경북",98,101,25.0%,65.1%,1.5%,5.4%,1.0%,1.2%,0.7%,0.0%,
"광주,전남북",113,103,54.4%,28.5%,2.3%,7.4%,0.9%,3.4%,1.3%,2.0%,
제주,9,12,37.6%,36.7%,0.0%,8.4%,17.3%,0.0%,0.0%,0.0%,
