"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,
서울,193,189,33.2%,50.7%,2.5%,7.1%,3.8%,1.0%,0.6%,1.2%,
"경기,인천",328,314,40.4%,44.3%,3.5%,6.0%,2.5%,0.3%,2.1%,0.9%,
"대전,세종,충남북",101,107,35.5%,49.2%,0.0%,5.3%,4.1%,0.0%,3.5%,2.4%,
"광주,전남북",104,98,67.2%,20.4%,4.5%,2.9%,1.1%,0.0%,0.9%,3.0%,
"대구,경북",92,98,24.0%,55.6%,3.0%,8.5%,4.6%,3.4%,0.0%,1.0%,
"부산,울산,경남",142,150,36.9%,49.6%,0.7%,5.8%,5.5%,0.6%,0.0%,0.8%,
"강원,제주",40,44,34.7%,45.2%,2.8%,12.3%,2.6%,0.0%,0.0%,2.5%,
