"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,190,189,30.2%,30.9%,3.3%,16.0%,1.1%,10.1%,8.3%,
"경기,인천",316,315,39.3%,29.4%,3.2%,8.8%,1.3%,8.3%,9.8%,
"대전,세종,충남북",112,106,32.0%,36.9%,0.9%,11.5%,2.7%,9.9%,6.2%,
"부산,울산,경남",145,151,24.9%,32.3%,0.7%,10.4%,3.0%,16.5%,12.2%,
"대구,경북",92,98,19.9%,57.6%,0.0%,8.9%,0.0%,5.5%,8.0%,
"광주,전남북",101,98,60.6%,8.7%,1.0%,11.5%,1.0%,10.2%,7.0%,
"강원,제주",45,44,30.9%,26.4%,4.5%,27.7%,2.3%,8.2%,0.0%,
