"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,302,216,31.5%,20.8%,9.1%,19.0%,1.6%,1.7%,10.7%,5.5%
"경기,인천",335,344,32.5%,17.6%,9.3%,20.0%,2.0%,2.5%,11.7%,4.5%
"대전,세종,충남북",92,107,40.3%,11.4%,3.5%,26.9%,0.0%,0.0%,12.3%,5.6%
강원,25,27,30.0%,22.1%,10.6%,17.0%,6.9%,4.1%,3.5%,5.8%
"부산,울산,경남",116,140,31.2%,18.9%,8.0%,17.6%,0.0%,3.7%,14.8%,5.7%
"대구,경북",63,89,32.5%,22.1%,0.0%,14.1%,1.7%,6.5%,15.6%,7.5%
"광주,전남북",83,89,40.0%,19.2%,7.6%,13.2%,1.5%,3.5%,12.2%,2.8%
제주,8,12,23.8%,11.6%,0.0%,28.3%,0.0%,10.3%,26.0%,0.0%
,,,,,,,,,,
