"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,202,189,37.3%,40.6%,3.6%,10.7%,1.9%,2.4%,0.8%,2.7%
"경기,인천",311,315,42.3%,45.7%,2.0%,6.1%,1.3%,0.0%,1.8%,0.7%
"대전,세종,충남북",106,108,39.8%,43.2%,1.0%,9.3%,1.5%,1.0%,1.8%,2.4%
"광주,전남북",96,98,72.4%,17.6%,2.3%,2.2%,2.7%,1.4%,1.4%,0.0%
"대구,경북",96,99,23.7%,65.1%,0.0%,8.1%,0.0%,0.0%,2.0%,1.1%
"부산,울산,경남",156,151,27.1%,50.5%,1.9%,12.1%,1.2%,2.0%,3.3%,1.9%
"강원,제주",37,44,41.8%,51.2%,0.0%,2.2%,2.4%,0.0%,0.0%,2.4%
