"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
"나주,화순,담양,장성,영광,함평",202,196,72.0%,9.4%,5.2%,8.2%,2.5%,1.1%,1.5%
"곡성,구례,광양,순천,여수,고흥,보성,장흥",469,487,67.7%,12.7%,4.0%,8.8%,2.1%,4.2%,0.5%
"목포,영암,강진,완도,해남,진도,신안,무안",329,317,70.6%,14.8%,3.0%,6.1%,1.8%,1.8%,1.8%
,,,,,,,,,
,,,,,,,,,
