"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,209,189,33.0%,42.9%,6.1%,7.1%,3.3%,1.5%,4.3%,1.7%
"경기,인천",316,314,42.3%,37.0%,2.4%,6.6%,5.0%,2.2%,4.1%,0.4%
"대전,세종,충남북",98,107,48.1%,32.7%,0.0%,3.5%,8.3%,0.9%,5.1%,1.4%
"광주,전남북",91,98,51.6%,27.9%,2.9%,2.2%,6.9%,0.9%,5.9%,1.7%
"대구,경북",98,98,27.1%,48.7%,1.4%,9.2%,4.7%,0.0%,8.9%,0.0%
"부산,울산,경남",145,150,30.1%,42.5%,3.1%,3.6%,6.4%,3.1%,8.8%,2.5%
"강원,제주",43,44,36.0%,46.1%,0.0%,6.8%,6.5%,2.1%,2.5%,0.0%
