"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,179,197,36.10%,34.50%,1.60%,16.20%,1.90%,9.20%,0.50%,,
"경기,인천",323,329,42.20%,33.40%,4.00%,11.20%,1.70%,6.80%,0.60%,,
"대전,세종,충남북",108,112,36.30%,38.10%,1.70%,14.50%,3.60%,5.20%,0.50%,,
"광주,전남북",114,103,64.90%,15.20%,4.10%,6.60%,2.50%,4.10%,2.50%,,
"대구,경북",112,101,27.00%,50.00%,2.20%,10.00%,0.00%,7.70%,3.10%,,
"부산,울산,경남",148,159,33.50%,38.30%,5.20%,12.40%,2.00%,7.90%,0.70%,,
"강원,제주",62,45,38.30%,40.70%,2.30%,11.30%,0.00%,2.20%,5.20%,,
