"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,202,188,35.0%,43.0%,4.0%,12.0%,1.0%,0.0%,4.0%,1.0%
"경기,인천",325,316,38.0%,47.0%,3.0%,6.0%,1.0%,3.0%,1.0%,2.0%
"대전,세종,충남북",98,107,37.0%,46.0%,4.0%,10.0%,0.0%,1.0%,0.0%,2.0%
"광주,전남북",93,97,55.0%,31.0%,1.0%,6.0%,0.0%,3.0%,2.0%,2.0%
"대구,경북",87,98,32.0%,54.0%,0.0%,11.0%,0.0%,2.0%,1.0%,0.0%
"부산,울산,경남",152,150,36.0%,54.0%,2.0%,4.0%,1.0%,1.0%,0.0%,1.0%
"강원,제주",43,44,32.0%,46.0%,2.0%,9.0%,0.0%,8.0%,0.0%,2.0%
,,,,,,,,,,
