"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,244,194,30.1%,24.6%,6.1%,7.7%,1.4%,1.0%,0.0%,12.7%,16.4%
"경기,인천",303,314,32.9%,22.4%,2.0%,8.4%,1.1%,1.0%,0.3%,12.7%,19.2%
"대전,세종,충남북",90,107,34.0%,24.1%,7.4%,4.9%,0.0%,0.7%,1.7%,8.7%,18.6%
"대구,경북",86,99,21.6%,40.1%,4.9%,3.4%,1.6%,0.0%,1.8%,11.5%,15.1%
"부산,울산,경남",129,154,30.5%,27.3%,2.3%,6.7%,0.9%,0.4%,0.6%,13.4%,17.8%
"광주,전남북",111,98,55.1%,9.7%,2.7%,1.5%,0.0%,0.0%,0.0%,12.8%,18.3%
"강원,제주",46,43,24.6%,48.3%,1.7%,4.7%,1.2%,1.2%,1.6%,7.8%,9.1%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
