"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
장안구,210,188,35.70%,43.60%,4.50%,7.50%,3.40%,2.50%,2.80%
권선구,237,246,33.00%,45.10%,3.40%,8.80%,3.40%,3.90%,2.40%
팔달구,123,131,30.90%,43.60%,1.10%,12.30%,5.30%,4.60%,2.20%
영통구,231,236,39.30%,41.80%,1.90%,11.50%,1.50%,1.50%,2.50%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
