"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,203,195,32.6%,48.4%,3.2%,4.1%,0.5%,2.1%,5.5%,3.7%
"경기,인천",314,325,39.7%,43.2%,4.0%,2.7%,1.5%,2.1%,5.5%,1.2%
"대전,세종,충남북",102,109,36.8%,41.5%,6.4%,5.1%,0.0%,2.2%,6.9%,1.0%
"광주,전남북",100,100,61.9%,21.4%,5.1%,1.2%,1.1%,2.9%,4.2%,2.1%
"대구,경북",102,101,27.6%,53.3%,1.1%,3.0%,2.0%,3.5%,8.6%,0.8%
"부산,울산,경남",162,154,27.4%,53.2%,6.2%,2.4%,0.0%,5.2%,4.5%,1.2%
"강원,제주",46,45,32.4%,54.4%,0.0%,5.0%,0.0%,4.0%,2.1%,2.2%
