"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,221,192,33.1%,31.9%,2.7%,8.3%,2.3%,11.4%,10.3%,
"경기,인천",315,317,38.4%,27.1%,3.6%,9.1%,0.5%,10.6%,10.7%,
"대전,세종,충남북",108,109,29.8%,31.6%,4.5%,11.0%,3.7%,9.0%,10.3%,
"광주,전남북",90,99,66.2%,6.7%,1.2%,6.6%,0.8%,8.2%,10.3%,
"대구,경북",96,99,16.8%,40.4%,3.3%,16.2%,0.8%,17.4%,5.0%,
"부산,울산,경남",143,152,38.8%,28.6%,3.4%,6.9%,1.9%,15.0%,5.3%,
"강원,제주",39,44,34.5%,28.6%,3.4%,4.1%,2.3%,13.0%,14.1%,
