"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
대덕구,88,99,26.4%,35.0%,3.2%,5.0%,5.4%,0.9%,17.3%,6.9%
동구,117,126,36.9%,29.4%,3.0%,4.7%,1.1%,5.6%,11.7%,7.7%
서구,260,258,32.2%,31.2%,4.8%,7.0%,0.3%,0.7%,15.3%,8.5%
유성구,211,188,38.8%,34.4%,4.3%,4.1%,0.5%,1.0%,11.4%,5.5%
중구,124,129,42.6%,28.3%,1.7%,5.2%,0.0%,2.6%,16.8%,2.8%
