"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
"동대문구,도봉구,강북구,노원구,중랑구,성북구,성동구,광진구",296,310,38.40%,37.50%,3.80%,6.60%,2.40%,1.20%,0.30%,9.30%,0.40%
"서대문구,종로구,중구,마포구,은평구,용산구",195,174,38.00%,44.30%,2.70%,6.10%,0.90%,1.10%,0.40%,6.60%,0.00%
"강동구,강남구,서초구,송파구",240,212,29.80%,45.50%,2.70%,10.00%,1.40%,1.00%,1.00%,7.80%,0.80%
"강서구,양천구,영등포구,동작구,관악구,구로구,금천구",273,308,33.90%,44.10%,2.30%,6.20%,2.60%,0.60%,1.30%,8.60%,0.40%
전체,1004,1004,35.10%,42.40%,2.90%,7.10%,2.00%,1.00%,0.80%,8.30%,0.40%
