"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
동구,60,65,45.5%,27.7%,0.0%,15.2%,0.0%,6.9%,4.8%
서구,165,161,67.2%,11.4%,2.5%,9.0%,0.0%,5.6%,4.4%
남구,118,130,61.6%,7.8%,5.5%,9.0%,2.4%,7.6%,6.2%
북구,241,235,61.8%,12.0%,4.0%,8.3%,1.3%,8.4%,4.1%
광산구,216,209,57.2%,13.9%,4.2%,7.4%,0.9%,10.4%,6.1%
,,,,,,,,,
,,,,,,,,,
