"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,187,187,31%,37%,2%,8%,2%,14%,6%,,,
"경기,인천",316,314,40%,27%,5%,6%,1%,16%,6%,,,
"대전,세종,충남북",108,108,34%,26%,9%,8%,2%,14%,6%,,,
"광주,전남북",97,99,53%,4%,3%,4%,3%,18%,15%,,,
"대구,경북",97,97,22%,43%,3%,3%,0%,15%,14%,,,
"부산,울산,경남",152,152,33%,29%,4%,5%,1%,15%,12%,,,
"강원,제주",43,43,27%,33%,5%,5%,2%,19%,9%,,,
