"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
남구,246,229,31.1%,51.0%,4.0%,6.0%,1.0%,1.5%,4.5%,0.7%
중구,168,155,27.5%,58.8%,3.1%,3.9%,1.0%,0.8%,2.0%,2.8%
북구,138,149,39.9%,42.5%,3.2%,7.7%,0.0%,2.9%,0.8%,3.0%
동구,90,108,28.0%,55.3%,2.7%,8.2%,0.0%,0.6%,2.7%,2.4%
울주군,159,160,30.0%,51.2%,5.1%,5.9%,0.0%,5.7%,1.1%,1.1%
