"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수","	기타",없음,모름
서울,192,189,37.50%,44.90%,4.10%,5.20%,1.00%,6.30%,1.00%
"경기,인천",311,314,39.70%,43.50%,4.30%,3.70%,1.20%,7.60%,0.00%
"대전,세종,충남북",111,107,35.00%,46.10%,2.80%,5.40%,2.50%,8.20%,0.00%
"강원,제주",53,43,28.00%,50.70%,3.70%,2.80%,3.70%,8.50%,2.60%
"부산,울산,경남",152,151,35.70%,45.40%,3.40%,2.80%,3.40%,8.70%,0.60%
"대구,경북",97,98,19.20%,57.80%,2.30%,9.10%,2.00%,9.60%,0.00%
"광주,전남북",99,98,62.10%,15.80%,0.90%,2.90%,4.70%,11.20%,2.50%
