"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,244,190,42.4%,45.7%,2.3%,6.7%,1.1%,1.1%,0.6%,
"경기,인천",299,318,45.9%,45.5%,1.3%,6.3%,0.0%,0.2%,0.8%,
"대전,세종,충남북",97,108,33.8%,51.0%,0.8%,11.8%,0.9%,0.7%,1.0%,
강원,37,31,32.6%,46.7%,6.7%,8.5%,2.0%,0.0%,3.5%,
"부산,울산,경남",117,152,39.9%,53.0%,1.6%,4.6%,0.0%,0.9%,0.0%,
"대구,경북",93,98,29.3%,59.3%,0.0%,7.7%,3.8%,0.0%,0.0%,
"광주,전남북",110,98,64.6%,24.4%,4.9%,4.8%,1.3%,0.0%,0.0%,
제주,10,12,70.5%,21.9%,0.0%,0.0%,0.0%,0.0%,7.6%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
