"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,202,190,29.4%,48.6%,2.9%,10.5%,1.5%,4.3%,1.7%,1.1%,
"경기,인천",308,315,41.2%,44.3%,0.4%,6.6%,1.2%,1.4%,3.1%,1.8%,
"대전,세종,충남북",104,105,35.0%,49.7%,2.5%,7.1%,0.0%,1.0%,4.7%,0.0%,
"광주,전남북",105,98,63.8%,24.1%,1.2%,2.0%,2.6%,2.0%,2.0%,2.3%,
"대구,경북",98,98,31.2%,59.1%,4.5%,2.4%,0.0%,1.7%,1.1%,0.0%,
"부산,울산,경남",141,150,33.6%,54.5%,0.9%,6.2%,0.0%,1.7%,3.1%,0.0%,
"강원,제주",42,44,36.4%,41.1%,0.0%,15.4%,0.0%,2.1%,2.5%,2.5%,
