"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,239,190,34.30%,44.90%,6.30%,3.40%,3.10%,0.80%,1.40%,5.80%,0.00%
"경기,인천",342,316,42.50%,36.10%,4.20%,6.60%,0.80%,1.00%,0.00%,6.50%,2.10%
"대전,세종,충남북,강원",106,137,36.00%,37.80%,1.90%,8.00%,3.80%,2.90%,1.10%,8.50%,0.00%
"광주,전남북,제주",107,111,58.30%,16.20%,1.60%,4.50%,2.20%,3.80%,1.10%,11.10%,1.20%
"대구,경북",89,98,30.90%,51.80%,3.30%,3.30%,5.80%,0.00%,0.00%,4.80%,0.00%
"부산,울산,경남",120,152,29.70%,52.50%,0.70%,6.90%,2.50%,1.30%,0.00%,3.60%,2.80%
