"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
서울,208,189,33.3%,49.3%,5.0%,7.4%,1.3%,1.7%,1.1%,1.0%,
"경기,인천",328,316,43.5%,42.6%,2.9%,7.7%,1.4%,0.9%,0.5%,0.6%,
"대전,세종,충남북,강원",143,136,44.1%,43.3%,2.7%,6.6%,1.3%,0.5%,0.9%,0.5%,
"광주,전남북,제주",94,111,53.8%,37.1%,2.5%,5.3%,0.0%,1.3%,0.0%,0.0%,
"대구,경북",98,98,30.1%,53.3%,4.7%,7.5%,1.5%,1.8%,1.0%,0.0%,
"부산,울산,경남",130,151,28.7%,52.0%,1.4%,5.3%,1.5%,3.7%,4.0%,3.3%,
,,,,,,,,,,,
