"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
중구,168,167,23.40%,65.30%,1.80%,2.20%,0.00%,5.40%,1.80%
남구,334,333,15.50%,63.60%,2.40%,4.30%,3.60%,9.20%,1.40%
