"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,202,190,33.4%,30.5%,7.6%,14.3%,4.1%,8.1%,2.1%
"경기,인천",313,318,41.7%,26.0%,7.9%,9.1%,3.6%,8.9%,2.8%
강원,31,30,26.4%,45.4%,3.4%,3.2%,9.3%,8.9%,3.4%
"대전,세종,충남북",102,107,31.5%,40.1%,6.0%,4.8%,5.3%,10.5%,1.8%
"광주,전남북",98,99,61.8%,7.2%,10.0%,10.0%,2.1%,7.1%,1.9%
"대구,경북",99,99,18.3%,47.6%,3.6%,7.5%,2.0%,15.7%,5.3%
"부산,울산,경남",150,152,31.2%,36.9%,4.0%,9.4%,2.7%,13.8%,1.9%
제주,13,13,49.9%,26.0%,0.0%,0.0%,0.0%,16.1%,8.0%
