"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,
서울,207,189,39.5%,40.8%,1.0%,8.4%,4.5%,1.7%,4.1%,0.0%,
"경기,인천",319,314,47.1%,32.5%,2.0%,6.3%,2.6%,2.0%,5.3%,2.2%,
"대전,세종,충남북",105,107,34.7%,49.5%,0.0%,5.4%,4.3%,0.0%,4.3%,1.9%,
"광주,전남북",90,98,56.1%,27.7%,1.1%,4.7%,3.7%,2.0%,4.7%,0.0%,
"대구,경북",95,98,25.3%,56.0%,1.9%,5.1%,3.6%,1.7%,4.6%,1.9%,
"부산,울산,경남",137,150,34.8%,52.3%,1.0%,4.5%,0.8%,1.6%,4.2%,0.7%,
"강원,제주",47,44,26.2%,57.1%,10.7%,0.0%,3.9%,0.0%,2.2%,0.0%,
