"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,197,190,36.2%,43.4%,2.6%,3.7%,1.2%,3.8%,6.9%,2.1%
"경기,인천",301,315,48.3%,35.0%,2.4%,2.8%,1.3%,3.0%,5.9%,1.4%
"대전,세종,충남북",101,105,26.0%,50.4%,3.4%,5.1%,0.0%,7.4%,7.0%,0.8%
"광주,전남북",103,98,56.8%,24.8%,3.5%,4.5%,3.5%,1.5%,4.5%,1.0%
"대구,경북",103,98,22.5%,53.8%,3.5%,2.8%,2.3%,3.2%,9.0%,3.0%
"부산,울산,경남",152,150,28.1%,51.6%,2.9%,3.1%,0.5%,4.8%,7.0%,1.9%
"강원,제주",43,44,38.7%,51.1%,0.0%,2.5%,2.0%,2.0%,3.7%,0.0%
