"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,210,190,36.5%,44.5%,5.7%,6.5%,1.0%,2.9%,1.8%,1.2%
"경기,인천",306,315,42.3%,40.5%,1.9%,5.9%,0.7%,3.1%,3.8%,1.7%
"대전,세종,충남북",102,106,37.2%,48.6%,5.0%,7.3%,0.0%,1.0%,0.8%,0.0%
"광주,전남북",98,98,59.2%,23.1%,1.8%,7.1%,0.0%,4.6%,3.4%,0.8%
"대구,경북",97,98,25.3%,52.5%,0.0%,12.9%,1.6%,4.2%,2.2%,1.2%
"부산,울산,경남",146,151,30.6%,49.4%,1.7%,9.5%,0.5%,4.7%,2.8%,0.7%
"강원,제주",43,44,23.8%,52.4%,4.3%,13.0%,2.6%,3.8%,0.0%,0.0%
