"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,194,190,31.7%,39.6%,4.5%,14.0%,1.0%,7.6%,1.5%,,
"경기,인천",321,317,35.1%,35.1%,4.1%,17.8%,1.3%,4.4%,2.2%,,
"대전,세종,충남북",98,107,35.4%,39.0%,4.7%,15.7%,0.7%,3.6%,0.9%,,
"광주,전남북",94,101,59.4%,10.6%,3.0%,9.6%,2.0%,7.4%,7.9%,,
"대구,경북",105,97,14.7%,50.6%,3.8%,17.9%,3.4%,8.6%,1.0%,,
"부산,울산,경남",152,151,26.6%,36.9%,3.6%,15.8%,2.5%,9.5%,5.1%,,
"강원,제주",42,43,27.9%,39.5%,4.7%,14.0%,0.0%,14.0%,0.0%,,
