"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,745,574,38.6%,47.4%,1.3%,8.5%,1.4%,2.0%,0.8%
"경기,인천",913,960,43.2%,43.4%,2.2%,6.5%,1.1%,2.8%,0.9%
"대전,세종,충남북",305,323,41.9%,46.0%,1.5%,6.4%,1.1%,2.0%,1.1%
강원,98,91,31.5%,46.3%,0.0%,5.0%,4.8%,7.7%,4.7%
"부산,울산,경남",369,459,35.0%,51.5%,2.1%,7.1%,0.7%,2.6%,1.0%
"대구,경북",253,295,20.6%,61.8%,2.5%,8.8%,1.8%,2.2%,2.2%
"광주,전남북",319,296,65.4%,20.6%,1.4%,6.3%,1.5%,2.3%,2.5%
제주,35,39,47.6%,31.4%,6.4%,5.0%,2.8%,6.8%,0.0%
