"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,188,187,30%,38%,6%,10%,0%,11%,4%
"경기,인천",316,316,37%,27%,2%,14%,2%,13%,6%
"대전,세종,충남북",107,108,31%,41%,1%,14%,0%,10%,4%
"광주,전남북",99,99,67%,8%,2%,10%,1%,5%,7%
"대구,경북",97,97,15%,47%,5%,13%,2%,14%,3%
"부산,울산,경남",151,151,25%,42%,3%,11%,2%,15%,2%
"강원,제주",42,42,36%,26%,5%,14%,2%,12%,5%
