"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,"	기타",없음,모름
서울,202,189,30.20%,38.40%,4.30%,9.60%,0.90%,2.20%,3.30%,11.10%
"경기,인천",300,315,38.80%,34.40%,4.50%,5.50%,1.80%,3.70%,2.30%,8.90%
"대전,세종,충남북",107,105,34.80%,28.00%,8.40%,5.60%,1.50%,3.00%,6.90%,11.80%
"광주,전남북",100,99,51.10%,10.40%,9.40%,8.60%,0.80%,3.00%,2.40%,14.30%
"대구,경북",105,98,19.90%,49.20%,5.60%,4.50%,0.90%,2.70%,3.60%,13.60%
"부산,울산,경남",148,151,35.20%,39.80%,1.80%,2.70%,2.10%,2.40%,3.90%,12.10%
"강원,제주",46,43,36.30%,39.10%,1.60%,3.70%,5.30%,0.00%,1.60%,12.50%
