"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,247,191,39.8%,43.1%,2.0%,10.5%,1.9%,1.3%,1.3%
"경기,인천",306,318,43.1%,44.9%,3.4%,6.8%,0.7%,0.2%,0.9%
"대전,세종,충남북",96,108,33.5%,49.7%,1.5%,10.9%,1.9%,0.0%,2.4%
강원,25,31,37.2%,53.4%,0.0%,4.6%,4.7%,0.0%,0.0%
"부산,울산,경남",139,152,36.4%,50.7%,1.7%,8.6%,1.4%,0.4%,0.9%
"대구,경북",89,98,30.3%,59.8%,2.3%,7.7%,0.0%,0.0%,0.0%
"광주,전남북",98,99,60.9%,30.6%,3.9%,4.6%,0.0%,0.0%,0.0%
제주,9,12,66.6%,33.4%,0.0%,0.0%,0.0%,0.0%,0.0%
