"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,195,188,37%,40%,3%,13%,1%,2%,4%,1%
"경기,인천",317,316,36%,42%,4%,12%,0%,1%,3%,1%
"대전,세종,충남북",103,107,27%,47%,2%,16%,0%,2%,6%,0%
"광주,전남북",105,97,58%,22%,2%,9%,0%,2%,5%,2%
"대구,경북",110,98,27%,54%,2%,11%,0%,1%,5%,0%
"부산,울산,경남",130,150,35%,46%,2%,12%,0%,3%,1%,2%
"강원,제주",40,44,38%,50%,0%,4%,0%,0%,7%,2%
