"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,203,189,38.3%,47.7%,3.6%,6.7%,0.6%,2.1%,1.0%,,,
"경기,인천",326,315,44.2%,40.5%,2.0%,8.7%,1.4%,2.9%,0.3%,,,
"대전,세종,충남북",108,106,39.8%,50.3%,0.9%,5.9%,0.0%,2.4%,0.7%,,,
"광주,전남북",106,98,59.5%,26.2%,2.5%,5.4%,0.0%,4.2%,2.1%,,,
"대구,경북",79,98,20.0%,60.5%,2.1%,8.8%,1.8%,4.8%,2.0%,,,
"부산,울산,경남",132,150,32.8%,55.6%,3.2%,4.4%,0.7%,3.4%,0.0%,,,
"강원,제주",46,44,43.3%,41.3%,8.2%,5.4%,1.8%,0.0%,0.0%,,,
,,,,,,,,,,,,
