"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
"종로구,중구,용산구,마포구",116,92,28.00%,49.50%,1.10%,12.90%,5.40%,2.20%,1.10%
"성동구,광진구,동대문구,중랑구",154,146,40.40%,41.10%,6.20%,6.80%,3.40%,1.40%,0.70%
"성북구,강북구,도봉구,노원구",166,165,35.50%,45.20%,4.80%,10.20%,2.40%,1.20%,0.60%
"은평구,서대문구,양천구,강서구",185,190,37.20%,43.50%,1.00%,7.90%,5.20%,2.10%,3.10%
"구로구,금천구,영등포구,동작구,관악구",184,204,36.80%,41.20%,3.90%,11.30%,2.00%,3.40%,1.50%
"서초구,강남구,송파구,강동구",207,215,24.80%,46.30%,1.90%,16.40%,5.60%,4.70%,0.50%
전체,1012,1012,33.90%,44.10%,3.20%,11.10%,3.90%,2.70%,1.20%
