"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
제주시,571,586,32.30%,23.80%,2.30%,3.70%,0.20%,0.90%,21.80%,15.10%
서귀포시,236,221,31.50%,21.50%,3.20%,1.20%,0.90%,1.60%,23.60%,16.50%
