"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,785,578,36.4%,37.0%,3.2%,11.8%,2.6%,6.6%,2.4%,
"경기,인천",936,957,42.0%,32.3%,2.9%,10.4%,3.0%,7.3%,2.1%,
"대전,세종,충남북",270,322,35.8%,36.5%,3.7%,14.6%,3.6%,4.9%,0.9%,
강원,98,91,41.1%,31.8%,3.0%,13.9%,4.2%,4.2%,1.8%,
"부산,울산,경남",392,461,31.5%,41.8%,1.6%,10.8%,3.7%,8.3%,2.3%,
"대구,경북",254,297,26.9%,46.8%,1.4%,10.7%,3.1%,8.5%,2.5%,
"광주,전남북",267,297,68.9%,10.6%,3.7%,8.0%,2.4%,4.6%,1.8%,
제주,40,39,64.2%,14.1%,5.1%,11.2%,0.0%,5.4%,0.0%,
