"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,194,193,34.90%,37.20%,4.00%,6.20%,0.30%,5.30%,10.70%,1.40%
"경기,인천",288,318,45.80%,33.50%,3.30%,5.70%,1.80%,3.70%,5.10%,1.20%
"대전,세종,충남북",106,109,35.50%,33.80%,1.10%,17.10%,2.80%,2.00%,5.10%,2.50%
"광주,전남북",130,99,59.90%,13.90%,9.50%,3.60%,0.00%,3.80%,6.90%,2.40%
"대구,경북",100,99,32.90%,36.10%,4.30%,7.50%,0.70%,3.10%,8.40%,7.00%
"부산,울산,경남",147,152,28.60%,44.00%,4.20%,4.20%,1.40%,6.70%,9.30%,1.70%
"강원,제주",49,44,43.50%,28.70%,12.90%,2.30%,0.00%,4.50%,5.80%,2.30%
