"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,194,192,42.2%,46.4%,2.1%,6.2%,1.5%,0.0%,0.5%,1.0%
"경기,인천",322,318,41.7%,49.6%,0.7%,4.1%,2.5%,0.6%,0.3%,0.6%
"대전,세종,충남북",104,108,46.9%,43.4%,1.9%,4.9%,0.0%,1.0%,0.0%,1.9%
"광주,전남북",104,98,65.3%,23.1%,0.9%,4.8%,4.0%,1.9%,0.0%,0.0%
"대구,경북",95,98,30.9%,59.4%,3.3%,4.3%,1.1%,1.1%,0.0%,0.0%
"부산,울산,경남",151,152,29.7%,57.5%,0.6%,6.1%,4.0%,0.0%,1.4%,0.7%
"강원,제주",41,45,44.4%,41.0%,0.0%,2.5%,9.6%,2.5%,0.0%,0.0%
