"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,206,189,37.3%,41.2%,6.1%,5.8%,0.5%,1.4%,7.3%,0.5%
"경기,인천",310,315,42.9%,41.5%,2.1%,2.1%,1.1%,3.0%,5.9%,1.4%
"대전,세종,충남북",97,106,34.6%,49.7%,4.4%,1.9%,1.0%,1.9%,6.4%,0.0%
"광주,전남북",90,98,62.0%,18.7%,0.0%,3.7%,1.4%,2.4%,11.9%,0.0%
"대구,경북",97,98,25.5%,57.8%,2.3%,1.9%,1.9%,1.9%,5.9%,2.7%
"부산,울산,경남",148,150,36.2%,45.9%,0.5%,2.0%,1.8%,2.6%,9.1%,1.9%
"강원,제주",56,44,53.1%,33.3%,1.7%,0.0%,1.4%,2.3%,8.3%,0.0%
