"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,190,189,31.0%,34.0%,6.0%,10.0%,1.0%,13.0%,5.0%,
"경기,인천",327,317,36.0%,34.0%,5.0%,10.0%,2.0%,6.0%,7.0%,
"대전,세종,충남북",103,108,31.0%,38.0%,2.0%,9.0%,2.0%,12.0%,7.0%,
"광주,전남북",96,98,57.0%,15.0%,6.0%,6.0%,1.0%,10.0%,5.0%,
"대구,경북",97,98,25.0%,56.0%,1.0%,8.0%,0.0%,6.0%,4.0%,
"부산,울산,경남",150,152,28.0%,37.0%,3.0%,8.0%,1.0%,11.0%,12.0%,
"강원,제주",44,45,38.0%,36.0%,4.0%,7.0%,2.0%,10.0%,4.0%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
