"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,191,189,34.6%,36.8%,3.4%,5.8%,1.6%,3.1%,11.2%,3.6%
"경기,인천",315,315,38.8%,32.4%,2.8%,7.7%,0.3%,1.6%,11.1%,5.4%
강원,32,30,37.1%,29.2%,5.5%,7.5%,0.0%,0.0%,6.3%,14.4%
"대전,세종,충남북",108,106,36.0%,38.1%,4.5%,6.6%,0.0%,0.8%,10.1%,3.9%
"광주,전남북",98,98,60.6%,10.4%,4.5%,6.5%,2.9%,2.9%,5.6%,6.5%
"대구,경북",98,98,21.8%,50.1%,2.0%,4.9%,2.0%,4.1%,12.3%,2.8%
"부산,울산,경남",152,151,27.1%,52.2%,4.7%,5.9%,0.8%,0.7%,5.1%,3.5%
제주,12,13,37.9%,41.3%,0.0%,0.0%,0.0%,7.3%,6.4%,7.2%
