"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
동구,125,125,33.60%,42.50%,2.70%,3.80%,0.00%,4.00%,0.80%,9.70%,2.90%
중구,117,131,32.70%,49.00%,3.10%,2.60%,0.80%,3.10%,0.00%,6.50%,2.30%
서구,259,259,31.40%,46.90%,4.40%,1.30%,1.30%,4.70%,0.60%,9.30%,0.00%
유성구,211,187,32.30%,48.10%,2.20%,3.30%,2.00%,4.50%,0.70%,3.20%,3.70%
대덕구,93,98,40.30%,48.50%,1.20%,0.00%,2.10%,2.70%,1.20%,3.20%,0.70%
