"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,202,189,36.3%,47.3%,4.2%,7.4%,1.1%,2.9%,0.8%
"경기,인천",310,315,37.7%,47.9%,2.2%,8.4%,0.9%,2.4%,0.6%
"강원,제주",45,43,30.9%,52.4%,1.9%,10.6%,2.4%,1.9%,0.0%
"대전,세종,충남북",97,107,41.6%,37.3%,4.3%,10.3%,0.4%,4.1%,2.1%
"부산,울산,경남",150,151,37.9%,46.9%,2.6%,8.3%,1.3%,1.0%,2.1%
"대구,경북",101,98,29.3%,49.3%,4.2%,13.0%,3.1%,1.1%,0.0%
"광주,전남북",96,98,54.1%,30.1%,2.6%,10.9%,0.9%,1.4%,0.0%
,,,,,,,,,
