"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,219,189,33.0%,41.3%,8.9%,3.9%,4.4%,5.4%,3.2%,
"경기,인천",312,315,38.8%,42.7%,3.7%,3.8%,5.1%,4.3%,1.7%,
"대전,세종,충남북",97,107,29.8%,47.1%,5.1%,3.7%,6.9%,5.5%,1.9%,
"광주,전남북",99,98,60.1%,25.4%,4.6%,2.2%,2.9%,3.8%,1.0%,
"대구,경북",94,98,24.4%,50.0%,8.6%,4.0%,4.9%,8.0%,0.0%,
"부산,울산,경남",140,151,32.3%,44.0%,4.1%,5.6%,7.8%,3.9%,2.2%,
"강원,제주",41,44,41.8%,45.5%,0.0%,2.5%,7.6%,0.0%,2.5%,
