"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,224,188,37.0%,37.0%,1.0%,17.0%,2.0%,5.0%,1.0%
"경기,인천",315,316,41.0%,37.0%,3.0%,13.0%,1.0%,5.0%,0.0%
"대전,세종,충남북",97,107,38.0%,39.0%,1.0%,14.0%,2.0%,4.0%,3.0%
"광주,전남북",88,97,67.0%,14.0%,7.0%,7.0%,3.0%,2.0%,0.0%
"대구,경북",96,98,30.0%,50.0%,4.0%,11.0%,3.0%,1.0%,1.0%
"부산,울산,경남",138,150,35.0%,44.0%,4.0%,12.0%,2.0%,3.0%,0.0%
"강원,제주",42,44,38.0%,43.0%,0.0%,14.0%,0.0%,5.0%,0.0%
