"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
덕양구,344,360,44.8%,39.3%,4.2%,8.1%,0.8%,1.4%,0.8%,0.5%
일산동구,232,222,43.0%,45.3%,1.7%,6.2%,0.8%,0.8%,1.3%,1.0%
일산서구,224,218,42.0%,45.4%,4.2%,4.3%,0.5%,0.4%,2.1%,1.1%
,,,,,,,,,,
