"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,,,
서울,193,188,44.0%,45.0%,2.0%,6.0%,1.0%,3.0%,0.0%,,,,,
"경기,인천",322,316,39.0%,49.0%,2.0%,6.0%,2.0%,1.0%,1.0%,,,,,
"대전,세종,충남북",107,107,35.0%,49.0%,2.0%,13.0%,1.0%,1.0%,0.0%,,,,,
"광주,전남북",96,97,68.0%,23.0%,0.0%,4.0%,1.0%,1.0%,3.0%,,,,,
"대구,경북",97,98,24.0%,65.0%,2.0%,4.0%,1.0%,1.0%,2.0%,,,,,
"부산,울산,경남",143,150,35.0%,52.0%,3.0%,7.0%,1.0%,2.0%,0.0%,,,,,
"강원,제주",42,44,48.0%,41.0%,2.0%,7.0%,0.0%,0.0%,2.0%,,,,,
