"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,204,190,34.7%,45.8%,4.1%,8.5%,3.3%,0.7%,0.4%,0.4%,2.1%
"경기,인천",324,318,40.3%,42.6%,5.6%,5.8%,2.7%,0.8%,0.3%,1.5%,0.3%
"대전,세종,충남북,강원",141,137,38.8%,43.7%,3.2%,5.1%,3.6%,0.8%,0.0%,3.5%,1.5%
"광주,전남북,제주",120,111,62.9%,27.7%,0.5%,4.3%,2.0%,1.1%,0.0%,1.4%,0.0%
"대구,경북",97,98,35.4%,50.4%,1.6%,4.7%,3.3%,0.8%,0.6%,3.1%,0.0%
"부산,울산,경남",120,152,29.1%,54.7%,4.7%,6.6%,2.7%,0.0%,0.0%,1.7%,0.5%
,,,,,,,,,,,
