"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,
장안구,208,187,41.2%,43.2%,1.7%,6.8%,0.5%,1.0%,3.4%,2.3%,
권선구,227,247,48.0%,35.8%,4.6%,9.0%,0.3%,0.3%,1.1%,0.8%,
팔달구,122,131,42.5%,38.9%,3.3%,8.2%,0.0%,1.5%,4.9%,0.7%,
영통구,243,235,43.8%,43.8%,0.8%,8.6%,0.4%,0.0%,1.5%,1.1%,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
