"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,,
서울,191,189,36.3%,37.8%,0.5%,12.6%,1.0%,5.4%,6.3%,,,
"경기,인천",319,316,38.0%,37.2%,2.8%,10.1%,0.9%,4.7%,6.2%,,,
"대전,세종,충남북",109,106,36.7%,43.9%,1.7%,4.0%,0.0%,5.7%,8.0%,,,
"부산,울산,경남",144,150,25.5%,51.7%,0.6%,9.4%,4.1%,3.3%,5.3%,,,
"대구,경북",96,98,16.8%,58.5%,2.9%,7.6%,3.1%,2.9%,8.2%,,,
"광주,전남북",100,98,78.3%,8.7%,2.0%,2.9%,3.2%,0.9%,4.0%,,,
"강원,제주",42,44,41.3%,39.4%,0.0%,4.5%,0.0%,3.4%,11.4%,,,
,,,,,,,,,,,,
