"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,195,189,27.5%,36.6%,3.1%,16.5%,2.0%,0.5%,8.2%,5.7%
"경기,인천",319,315,35.4%,33.8%,3.0%,17.0%,2.5%,0.0%,3.6%,4.7%
"대전,세종,충남북",112,106,33.1%,32.6%,1.7%,18.3%,1.8%,0.0%,4.5%,8.0%
"광주,전남북",97,98,61.7%,11.6%,1.9%,10.3%,5.4%,2.0%,3.0%,4.0%
"대구,경북",93,98,28.1%,44.3%,2.4%,12.5%,1.0%,0.0%,9.7%,2.0%
"부산,울산,경남",141,150,32.7%,42.9%,1.6%,9.1%,1.6%,0.0%,4.3%,7.8%
"강원,제주",43,44,46.5%,32.1%,0.0%,8.2%,1.8%,0.0%,6.8%,4.5%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
