"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
대구,465,473,25.00%,61.50%,2.60%,6.70%,2.10%,1.70%,0.40%
경북,535,527,23.80%,64.30%,2.70%,5.10%,2.20%,1.30%,0.40%
전체,1000,1000,24.40%,63.00%,2.70%,5.90%,2.20%,1.50%,0.40%
