"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,243,189,34.4%,42.7%,4.2%,10.3%,1.5%,2.0%,3.5%,1.4%
"경기,인천",344,316,45.8%,33.4%,4.3%,8.5%,2.2%,0.2%,3.3%,2.3%
"대전,세종,충남북",86,105,34.8%,35.8%,4.3%,9.7%,2.2%,1.7%,8.9%,2.6%
"부산,울산,경남",117,151,32.6%,47.5%,3.6%,8.6%,2.4%,1.3%,3.5%,0.5%
"대구,경북",77,98,27.8%,44.9%,1.8%,12.7%,1.3%,1.0%,7.7%,2.8%
"광주,전남북",90,98,61.0%,13.3%,3.0%,10.2%,6.8%,0.7%,1.6%,3.5%
"강원,제주",44,44,46.4%,39.7%,0.0%,1.3%,10.7%,0.0%,1.9%,0.0%
