"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,214,189,37.0%,43.1%,3.4%,11.2%,2.0%,0.8%,0.8%,1.6%,0.0%
"경기,인천",327,317,41.1%,42.5%,2.3%,8.1%,0.7%,0.3%,1.6%,2.4%,1.0%
"대전,세종,충남북,강원",118,136,43.4%,42.1%,3.4%,3.1%,4.8%,0.4%,1.0%,1.1%,0.7%
"광주,전남북,제주",122,111,60.4%,29.2%,3.1%,2.3%,2.0%,0.0%,0.6%,0.8%,1.7%
"대구,경북",90,98,36.5%,45.5%,3.6%,9.1%,1.3%,2.3%,0.0%,0.0%,1.7%
"부산,울산,경남",131,151,22.4%,60.0%,3.4%,8.6%,2.5%,0.0%,0.6%,1.1%,1.4%
,,,,,,,,,,,
