"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,191,192,31.8%,43.5%,4.6%,8.4%,1.6%,3.7%,6.4%,0.0%
"경기,인천",321,318,42.7%,33.1%,2.9%,9.8%,0.6%,2.2%,8.1%,0.7%
"대전,세종,충남북",108,109,45.0%,32.2%,7.5%,5.5%,0.9%,2.1%,5.0%,1.8%
"강원,제주",48,43,31.8%,49.5%,0.0%,8.5%,0.0%,6.1%,4.1%,0.0%
"부산,울산,경남",154,151,28.3%,45.3%,2.9%,9.6%,0.0%,1.9%,11.2%,0.7%
"대구,경북",96,99,30.0%,47.3%,9.2%,4.8%,0.0%,2.9%,4.7%,1.0%
"광주,전남북",92,98,58.3%,19.4%,5.1%,2.3%,0.0%,3.6%,9.3%,2.1%
