"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름,,
서울,217,189,36.8%,42.0%,5.6%,10.7%,1.3%,1.5%,1.4%,0.8%,,
"경기,인천",356,315,38.4%,40.9%,1.8%,12.1%,2.3%,1.4%,2.4%,0.7%,,
"대전,세종,충남북",94,106,25.4%,53.9%,3.1%,7.2%,4.8%,2.1%,1.7%,1.7%,,
"부산,울산,경남",111,152,26.3%,58.4%,1.4%,7.7%,1.2%,1.7%,3.3%,0.0%,,
"대구,경북",85,98,15.5%,62.3%,1.8%,12.4%,5.5%,0.0%,1.0%,1.5%,,
"광주,전남북",95,98,61.7%,22.3%,0.6%,4.9%,2.7%,0.0%,4.4%,3.4%,,
"강원,제주",44,44,32.8%,48.0%,0.0%,13.5%,2.8%,0.0%,2.8%,0.0%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
