"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,189,189,30.4%,44.0%,2.2%,14.4%,0.0%,4.3%,4.8%
"경기,인천",318,317,41.3%,37.3%,5.7%,9.9%,1.5%,3.2%,1.0%
강원,31,30,45.2%,45.1%,0.0%,6.2%,3.4%,0.0%,0.0%
"대전,세종,충남북",106,106,34.9%,45.7%,3.8%,10.0%,0.9%,2.8%,1.9%
"광주,전남북",98,98,68.6%,13.3%,3.1%,7.8%,2.0%,4.2%,1.1%
"대구,경북",99,98,15.5%,66.4%,1.1%,12.0%,2.1%,2.0%,1.0%
"부산,울산,경남",151,152,32.6%,50.8%,2.7%,10.6%,0.7%,2.0%,0.7%
제주,12,13,18.5%,40.3%,6.5%,27.7%,0.0%,7.1%,0.0%
