"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,724,570,35.8%,46.1%,4.6%,3.4%,2.6%,5.4%,2.2%,
"경기,인천",923,942,40.3%,43.8%,3.0%,3.6%,2.1%,5.4%,1.9%,
"대전,세종,충남북",290,318,37.2%,47.6%,2.0%,4.4%,2.9%,5.4%,0.4%,
강원,105,90,39.3%,46.7%,6.0%,2.7%,1.2%,1.7%,2.3%,
"부산,울산,경남",406,456,36.5%,49.6%,2.6%,2.4%,1.6%,4.3%,2.9%,
"대구,경북",274,294,23.7%,64.7%,2.0%,3.2%,1.3%,2.1%,2.9%,
"광주,전남북",272,294,68.9%,18.3%,4.1%,1.7%,0.2%,4.8%,2.1%,
제주,49,36,40.0%,46.8%,6.8%,0.0%,3.2%,0.0%,3.2%,
