"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,203,190,38.2%,39.1%,1.8%,5.7%,2.4%,4.2%,5.8%,2.9%
"경기,인천",296,315,39.7%,39.8%,2.1%,5.1%,1.6%,4.4%,5.7%,1.5%
"대전,세종,충남북",106,106,42.7%,37.4%,0.0%,6.1%,3.3%,2.9%,6.3%,1.4%
"광주,전남북",97,98,58.4%,23.1%,5.0%,1.1%,1.1%,1.9%,9.5%,0.0%
"대구,경북",101,98,18.8%,55.2%,4.7%,1.0%,0.8%,2.5%,10.4%,6.7%
"부산,울산,경남",153,150,29.7%,47.1%,2.7%,5.5%,0.0%,3.2%,9.6%,2.2%
"강원,제주",45,44,34.7%,44.8%,2.3%,7.3%,0.0%,0.0%,8.7%,2.3%
