"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,217,192,30.1%,37.4%,3.5%,14.1%,0.9%,6.4%,7.6%,,
"경기,인천",346,322,37.4%,30.1%,4.4%,14.5%,2.3%,6.1%,5.2%,,
"대전,세종,충남북",96,108,28.9%,40.8%,3.2%,15.5%,0.0%,5.6%,5.9%,,
"광주,전남북",98,100,65.6%,11.2%,3.3%,6.5%,1.7%,6.9%,4.8%,,
"대구,경북",86,100,13.6%,50.2%,3.8%,15.7%,1.0%,12.0%,3.8%,,
"부산,울산,경남",137,154,31.5%,34.0%,0.6%,15.4%,4.5%,6.8%,7.2%,,
"강원,제주",40,44,35.8%,20.8%,3.4%,14.0%,3.6%,16.8%,5.7%,,
