"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,584,567,42.6%,44.2%,2.1%,7.4%,1.3%,1.0%,1.4%
"경기,인천",965,948,42.4%,45.1%,1.7%,7.7%,1.0%,1.3%,0.8%
"대전,세종,충남북",312,317,44.3%,43.2%,2.5%,6.7%,1.1%,1.6%,0.6%
전북,121,106,57.9%,31.9%,3.2%,4.4%,1.6%,1.0%,0.0%
"광주,전남",223,190,60.1%,28.3%,0.7%,7.3%,2.0%,0.4%,1.3%
"부산,울산,경남",436,453,38.3%,48.4%,1.7%,8.3%,1.7%,0.5%,1.1%
"대구,경북",253,293,27.5%,61.5%,0.6%,8.0%,0.7%,1.4%,0.3%
강원,70,91,40.9%,53.2%,1.6%,1.2%,1.7%,0.0%,1.4%
제주,40,39,54.9%,27.6%,2.5%,3.7%,6.3%,2.2%,2.9%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
