"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,191,189,29.3%,40.7%,4.1%,8.2%,2.2%,2.6%,13.0%
"경기,인천",315,319,34.4%,37.6%,2.3%,7.9%,1.6%,2.8%,13.4%
"대전,세종,충남북",106,107,34.2%,39.1%,3.7%,7.5%,0.0%,5.3%,10.2%
"광주,전남북",102,99,68.0%,9.7%,0.0%,8.3%,1.7%,3.2%,9.0%
"대구,경북",99,99,15.2%,59.5%,1.0%,6.8%,1.9%,2.3%,13.3%
"부산,울산,경남",155,153,29.6%,49.1%,0.6%,3.2%,3.2%,4.0%,10.3%
"강원,제주",41,43,27.0%,51.9%,1.7%,9.2%,3.5%,1.9%,4.8%
